Gaia21cwf,14:43:31.272,-61:48:53.64
Gaia21cwj,14:49:07.704,-61:12:27
Gaia21dcp,14:26:53.472,-62:40:58.44
Gaia21ddq,12:55:35.544,-64:08:36.6
Gaia21dls,19:35:01.728,+32:00:57.96
Gaia21dnc,21:38:10.824,+26:27:59.76
Gaia21dpb,21:25:29.88,+46:25:08.76
Gaia21dvx,16:29:45.576,-44:46:36.84
Gaia21dyh,17:45:47.448,-34:42:01.44
Gaia21dyl,17:57:50.112,-33:40:10.56
Gaia21dyr,17:37:13.896,-29:33:33.12
Gaia21dys,17:38:15.696,-28:45:47.16
Gaia21dyt,17:38:11.16,-28:14:33.72
Gaia21dyw,17:58:30.216,-32:17:36.6
Gaia21eak,18:19:33.6,-18:21:59.04
Gaia21eay,18:18:38.928,-12:22:23.52
Gaia21eaz,18:28:17.952,-17:43:01.92
Gaia21ebw,18:50:15.984,-13:39:31.32
Gaia21ecf,18:42:58.176,-06:55:01.2
Gaia21ecy,19:01:22.512,+11:52:03.36
Gaia21ecz,19:13:42.48,+04:54:55.8
Gaia21edg,19:11:26.304,+12:32:41.64
Gaia21eeb,19:37:08.808,+13:05:44.88
Gaia21eej,19:43:20.424,+17:54:41.76
Gaia21eek,19:33:43.104,+31:27:28.08
Gaia21efs,20:29:41.88,+31:17:42.72
Gaia21ehk,14:47:38.064,-61:36:45.36
Gaia21ehy,18:14:25.848,-36:17:21.84
Gaia21eid,15:19:02.256,-53:08:08.52
Gaia21eif,18:04:37.224,-33:44:20.76
Gaia21eir,17:20:51.72,-40:04:20.64
Gaia21eix,17:34:44.16,-34:11:13.92
Gaia21eja,18:08:09.072,-28:38:15.36
Gaia21eju,17:35:32.928,-26:21:50.04
Gaia21ejy,17:25:09.96,-29:16:28.56
Gaia21eki,17:00:14.664,-28:22:39.36
Gaia21eks,17:14:25.704,-23:17:40.2
Gaia21ekr,17:42:19.416,-17:00:34.56
Gaia21eku,18:18:51.288,-05:40:54.48
Gaia21elx,20:00:09.624,+32:48:52.92
Gaia21eqi,16:15:40.392,-53:35:26.88
Gaia21ero,17:44:42.528,-51:32:00.6
Gaia21exr,19:25:53.184,+14:17:37.32
Gaia21feu,13:25:48.984,-65:19:30.72
Gaia21fet,13:08:58.272,-61:45:34.92
Gaia21fil,22:09:25.92,+50:37:33.6
Gaia21fio,11:34:09.792,-65:27:43.2
Gaia21fjx,20:15:15.36,+22:27:00
Gaia21fka,20:01:08.592,+32:25:46.2
Gaia21fkl,07:46:28.368,-21:52:32.16
