Name  RA   Dec  t0[HJD]  tE[days]    u0    Ibase    Ibase_err
KMT-2016-BLG-0186 17:58:35.83 -27:52:24.49 247641.46694 88.80 0.145 20.00 None
KMT-2016-BLG-0187 17:58:46.29 -27:36:26.32 247511.24197 6.95 0.784 19.75 None
KMT-2016-BLG-0188 17:58:55.15 -27:34:48.29 247446.25217 38.75 0.388 20.00 None
KMT-2016-BLG-0189 17:57:58.92 -27:43:17.87 247544.94538 15.64 0.636 20.00 None
KMT-2016-BLG-0190 18:05:52.92 -27:10:39.68 247449.14194 52.11 0.453 19.95 None
KMT-2016-BLG-0191 18:04:07.67 -27:09:25.31 247543.99871 4.88 0.877 19.54 None
KMT-2016-BLG-0192 18:04:13.39 -26:54:31.72 247630.88985 52.03 0.363 18.99 None
KMT-2016-BLG-0193 18:03:34.46 -27:22:08.51 247536.99835 5.93 0.780 19.49 None
KMT-2016-BLG-0194 18:05:50.40 -28:08:22.60 247552.31368 34.61 0.195 19.06 None
KMT-2016-BLG-0195 18:04:35.30 -28:11:09.20 247439.14848 55.83 0.717 14.43 None
KMT-2016-BLG-0196 18:02:56.95 -28:08:58.81 247526.10310 8.93 0.454 20.00 None
KMT-2016-BLG-0197 18:02:41.95 -28:02:09.31 247511.81396 4.73 0.878 16.49 None
KMT-2016-BLG-0198 18:02:34.73 -28:00:23.18 247490.71143 11.60 0.657 19.91 None
KMT-2016-BLG-0199 18:00:12.34 -28:49:59.70 247587.96854 27.01 1.000 15.81 None
KMT-2016-BLG-0200 17:59:56.02 -28:51:34.42 247446.65111 54.65 0.508 19.74 None
KMT-2016-BLG-0201 18:00:04.49 -28:47:27.60 247517.80799 25.85 0.171 20.00 None
KMT-2016-BLG-0202 17:59:46.60 -28:38:41.71 247449.67494 62.94 0.962 15.19 None
KMT-2016-BLG-0203 17:59:45.24 -28:42:34.60 247536.41373 7.29 0.497 20.00 None
KMT-2016-BLG-0204 17:59:55.74 -28:21:00.79 247559.19282 15.69 0.853 19.08 None
KMT-2016-BLG-0205 17:59:43.41 -28:07:05.70 247548.35436 59.53 0.115 18.68 None
KMT-2016-BLG-0206 17:58:58.05 -28:46:47.32 247572.35172 1.49 0.234 18.96 None
KMT-2016-BLG-0207 17:58:01.82 -28:41:51.68 247528.40601 76.34 0.401 15.89 None
KMT-2016-BLG-0208 17:57:31.89 -28:58:14.02 247619.19345 20.67 0.960 17.06 None
KMT-2016-BLG-0209 17:57:26.96 -28:53:10.28 247502.60974 6.63 0.079 20.00 None
KMT-2016-BLG-0210 17:57:40.88 -28:48:54.90 247566.04878 24.20 1.000 16.14 None
KMT-2016-BLG-0211 17:53:38.69 -29:04:50.41 247513.04254 4.24 0.590 15.21 None
KMT-2016-BLG-0212 17:53:45.42 -29:05:12.80 247466.38892 22.51 0.397 19.22 None
KMT-2016-BLG-0213 17:52:27.70 -28:59:35.99 247568.89474 8.29 0.047 18.46 None
KMT-2016-BLG-0214 17:58:18.99 -28:48:12.49 247639.94757 33.59 0.943 17.69 None
KMT-2016-BLG-0215 17:57:33.71 -29:00:52.20 247552.60562 12.44 0.185 19.97 None
KMT-2016-BLG-0216 17:56:46.15 -28:29:58.60 247592.61443 58.57 0.157 20.00 None
KMT-2016-BLG-0217 17:56:44.65 -28:24:47.99 247467.40851 71.83 0.199 19.52 None
KMT-2016-BLG-0218 17:56:09.86 -28:59:26.09 247522.30426 5.68 0.851 20.00 None
KMT-2016-BLG-0219 17:56:33.13 -28:37:42.38 247606.93262 29.83 0.103 19.48 None
KMT-2016-BLG-0220 17:55:41.87 -28:42:36.18 247685.05343 31.95 0.076 17.68 None
KMT-2016-BLG-0221 17:55:51.96 -28:15:56.20 247462.29657 25.74 0.995 16.79 None
KMT-2016-BLG-0222 17:53:34.29 -29:14:06.40 247472.18821 163.99 0.036 19.10 None
KMT-2016-BLG-0223 17:53:19.01 -29:14:47.18 247507.25212 26.85 0.712 19.88 None
KMT-2016-BLG-0224 17:59:38.59 -27:30:32.51 247512.45471 7.41 1.000 17.18 None
KMT-2016-BLG-0225 17:58:46.87 -27:34:44.29 247448.75750 37.98 0.785 17.63 None
KMT-2016-BLG-0226 17:57:52.88 -28:00:29.20 247521.57627 3.71 0.994 20.00 None
