Name  RA   Dec  t0[HJD]  tE[days]    u0    Ibase    Ibase_err
OGLE-2002-BLG-019 17:47:37.69 -33:23:38.1 2452317.615 35.45 0.772 16.615 16.615
OGLE-2002-BLG-020 17:49:32.11 -33:24:39.0 2452375.919 20.82 0.736 19.022 19.022
OGLE-2002-BLG-021 17:54:15.04 -33:22:39.2 2452321.449 106.3 0.142 17.153 18.186
OGLE-2002-BLG-022 17:56:42.06 -33:38:08.3 2452358.806 28.09 0.383 18.950 18.950
OGLE-2002-BLG-023 17:57:46.49 -33:31:11.9 2452415.592 None None 18.753 18.753
OGLE-2002-BLG-024 18:02:51.62 -33:39:59.7 2452369.647 27.58 0.153 19.129 19.129
OGLE-2002-BLG-025 17:48:58.09 -33:13:10.3 2452377.395 73.50 0.044 18.857 21.455
OGLE-2002-BLG-026 17:55:37.05 -33:00:51.6 2452380.314 21.50 0.159 18.246 18.246
OGLE-2002-BLG-027 17:54:47.75 -33:01:14.3 2452358.557 10.61 0.288 17.297 17.297
OGLE-2002-BLG-028 18:04:16.89 -33:04:28.4 2452395.367 65.89 0.056 19.152 20.046
OGLE-2002-BLG-029 17:51:11.71 -32:31:54.2 2452419.983 69.37 0.323 19.414 19.414
OGLE-2002-BLG-030 17:51:36.78 -32:30:40.8 2452377.287 32.37 0.384 18.364 18.364
OGLE-2002-BLG-031 18:04:38.76 -32:41:52.0 2452372.517 11.04 0.666 18.188 18.188
OGLE-2002-BLG-032 17:54:03.98 -31:37:20.7 2452295.041 44.57 0.510 17.383 17.383
OGLE-2002-BLG-033 18:00:43.68 -32:00:30.9 2452408.684 21.51 0.538 15.596 15.596
OGLE-2002-BLG-034 18:03:08.18 -31:44:11.5 2452340.164 32.21 1.060 16.041 16.041
OGLE-2002-BLG-035 17:52:03.40 -31:04:48.6 2452371.553 53.87 0.000 18.639 20.616
OGLE-2002-BLG-036 18:03:43.12 -31:28:21.4 2452903.159 1.938 1.184 18.646 18.646
OGLE-2002-BLG-037 18:06:27.92 -31:18:59.0 2452400.956 86.16 0.424 17.619 17.619
OGLE-2002-BLG-038 18:06:09.85 -30:57:09.6 2452361.343 12.28 0.638 18.353 18.353
OGLE-2002-BLG-039 17:51:40.83 -29:28:04.0 2452384.793 16.20 1.227 15.990 15.990
OGLE-2002-BLG-040 17:51:37.09 -29:11:38.4 2452377.188 15.44 1.146 15.398 15.398
OGLE-2002-BLG-041 17:53:55.20 -29:10:21.5 2452373.344 44.61 0.502 17.433 17.433
OGLE-2002-BLG-042 17:53:10.31 -29:03:16.2 2452382.552 56.29 0.210 16.855 19.146
OGLE-2002-BLG-043 18:08:23.45 -29:34:30.9 2452371.926 11.79 0.460 17.063 17.063
OGLE-2002-BLG-044 18:07:27.95 -29:20:45.6 2452370.803 17.01 0.078 16.398 16.398
OGLE-2002-BLG-045 18:06:51.35 -29:16:43.5 2452359.950 24.99 0.236 18.731 18.731
OGLE-2002-BLG-046 18:10:36.07 -29:42:24.5 2452381.046 37.67 0.459 19.240 19.240
OGLE-2002-BLG-047 18:10:42.04 -29:14:03.6 2452403.185 75.58 0.141 17.446 18.284
OGLE-2002-BLG-048 18:08:23.46 -29:34:30.9 2452372.131 11.95 0.456 17.038 17.038
OGLE-2002-BLG-049 17:58:08.10 -28:48:52.8 2452302.783 48.22 1.249 15.353 15.353
