Name RA Dec t0[HJD] tE[days] u0 Ibase Ibase_err
Gaia22dkv 10:07:04.5552 -66:10:51.204 None None None 13.18 None
Gaia22dkb 22:09:49.3752 +58:56:43.116 None None None 15.37 None
Gaia22ddh 20:02:05.2896 +27:50:57.588 None None None 13.92 None
Gaia22dbo 07:36:01.992 -39:12:51.948 None None None 11.49 None
Gaia22dbi 13:29:06.9312 -53:26:19.14 None None None 16.25 None
Gaia22daq 13:35:56.6472 -57:52:36.336 None None None 16.60 None
Gaia22czv 13:32:11.5872 -67:04:09.984 None None None 19.98 None
Gaia22cyo 15:36:51.2952 -57:23:04.524 None None None 20.08 None
Gaia22cxv 16:00:32.5464 -64:03:52.848 None None None 16.32 None
Gaia22cwz 16:14:32.2752 -50:27:45 None None None 18.39 None
Gaia22cva 15:41:54.7992 -43:13:20.064 None None None 16.46 None
Gaia22cum 04:17:02.0064 +58:23:46.068 None None None 13.85 None
Gaia22cue 15:53:11.376 -55:21:03.024 None None None 11.89 None
Gaia22ctm 03:11:59.5536 +51:04:09.156 None None None 10.91 None
Gaia22csu 03:23:40.044 +56:41:45.168 None None None 12.78 None
Gaia22cst 15:24:20.0832 -58:30:28.368 None None None 18.30 None
Gaia22crr 14:17:37.32 -58:38:42.036 None None None 20.32 None
Gaia22cof 10:12:17.9016 -59:57:57.24 None None None 16.44 None
Gaia22coc 21:32:45.9 +47:11:02.364 None None None 15.41 None
Gaia22cnm 21:08:00.4368 +51:42:07.992 None None None 18.46 None
Gaia22cml 20:35:16.872 +18:52:17.184 None None None 15.56 None
Gaia22cla 07:32:35.6976 -19:48:52.488 None None None 15.40 None
Gaia22chy 18:51:53.556 +10:06:24.768 None None None 19.31 None
Gaia22che 06:56:35.3736 -13:26:12.552 None None None 15.12 None
Gaia22cgg 19:29:50.1888 +19:14:51.684 None None None 15.80 None
Gaia22cfj 08:48:01.896 -22:40:43.896 None None None 15.70 None
Gaia22cez 19:51:40.2048 +34:09:13.896 None None None 16.30 None
Gaia22cek 08:33:35.6568 -36:14:41.244 None None None 11.22 None
Gaia22bzh 00:04:37.5408 +67:33:40.356 None None None 18.53 None
Gaia22bys 12:27:32.3736 -64:10:07.5 None None None 18.17 None
Gaia22bxd 14:18:01.236 -64:27:59.256 None None None 9.97 None
Gaia22bxc 13:53:14.0544 -63:22:40.476 None None None 16.29 None
Gaia22bvt 16:18:48.096 -57:47:18.708 None None None 16.20 None
Gaia22bvq 13:46:05.1504 -57:50:51.288 None None None 17.06 None
Gaia22bue 22:02:09.7344 +36:45:28.764 None None None 15.27 None
Gaia22bua 18:00:25.5576 -33:13:36.84 None None None 20.23 None
Gaia22btv 18:28:31.5024 -22:15:25.848 None None None 19.08 None
Gaia22btl 16:37:06.5112 -46:08:39.552 None None None 19.46 None
Gaia22btf 17:39:39.9408 -34:27:39.456 None None None 18.94 None
Gaia22btc 18:58:12.4512 -08:34:51.528 None None None 19.44 None
Gaia22btb 18:28:52.7328 -18:56:46.788 None None None 20.36 None
Gaia22bsj 18:27:52.6968 -14:22:11.676 None None None 19.47 None
Gaia22brk 16:11:19.044 -44:58:16.356 None None None 18.72 None
Gaia22brh 17:24:51.9984 -25:45:56.772 None None None 20.04 None
Gaia22brc 17:52:16.0488 -15:51:37.152 None None None 19.18 None
Gaia22bra 19:50:00.876 +26:29:07.908 None None None 15.63 None
Gaia22bqr 17:10:16.8024 -31:02:36.312 None None None 17.84 None
Gaia22bqj 09:20:06.864 -50:58:08.148 None None None 15.68 None
Gaia22bpw 09:45:40.8672 -54:44:22.416 None None None 12.20 None
Gaia22bps 23:07:29.7936 +59:25:42.132 None None None 15.95 None
Gaia22bpo 08:42:51.288 -48:14:58.056 None None None 15.80 None
Gaia22bpi 13:23:27.972 -60:01:42.564 None None None 16.99 None
Gaia22boj 12:51:19.2288 -65:09:26.964 None None None 17.03 None
Gaia22boa 10:45:46.0656 -67:06:42.876 None None None 17.70 None
Gaia22bnk 03:03:21.9048 +56:15:47.664 None None None 16.49 None
